*** Report for user quotas on device /dev/sda
Block grace time: 7days; Inode grace time: 7days
                        Block limits                File limits
User            used    soft    hard  grace    used  soft  hard  grace
----------------------------------------------------------------------
root      -- 50767180       0       0         439227     0     0       
chrony    --       4       0       0              1     0     0       
#1020     -- 998978692 1400000000 1500000000        1672899     0     0       
#1003     -- 381052580 900000000 1000000000         539682     0     0       
#1029     -- 1291193088 2900000000 3000000000         832862     0     0       
#1002     -- 117068896 900000000 1000000000         294655     0     0       
#1004     -- 409225920 900000000 1000000000         570400     0     0       
#1018     -- 330052676 900000000 1000000000           7740     0     0       
#1030     -- 109252336 900000000 1000000000         512506     0     0       
#1012     -- 1253355212 1900000000 2000000000         125903     0     0       
#1006     -- 11945596 900000000 1000000000          59520     0     0       
#1007     -- 793914436 900000000 1000000000          11254     0     0       
#1009     -- 354748488 900000000 1000000000         699699     0     0       
#1010     -- 546654268 900000000 1000000000        1119084     0     0       
#1014     -- 117126628 900000000 1000000000         453566     0     0       
#1019     -- 697269412 900000000 1000000000         903233     0     0       
#1021     --       4 900000000 1000000000              1     0     0       
#1013     -- 337331904 900000000 1000000000        1191441     0     0       
#1005     -- 16303644 900000000 1000000000         268089     0     0       
#1026     -- 616767672 900000000 1000000000        1587238     0     0       
#1028     -- 369938124 900000000 1000000000         477540     0     0       
#1015     -- 402201016 900000000 1000000000         841796     0     0       
#1032     -- 441353552 900000000 1000000000         459206     0     0       
#1033     -- 1044344592 1900000000 2000000000         571320     0     0       
#1031     -- 694245792 900000000 1000000000         952365     0     0       
#1034     -- 32396492 900000000 1000000000         427473     0     0       
#1027     -- 639313372 900000000 1000000000         696647     0     0       
#1047     -- 561171388 900000000 1000000000         682509     0     0       
#1048     +- 938284716 900000000 1000000000  5days 3882906     0     0       
#1052     --       4 900000000 1000000000              1     0     0       
#1053     -- 245751728 900000000 1000000000         266642     0     0       
#1001     -- 5470422680       0       0        10362895     0     0       
#1055     -- 209038868 900000000 1000000000          98142     0     0       
#1054     -- 7039192 900000000 1000000000          46279     0     0       
#1057     -- 15489964 900000000 1000000000          27897     0     0       
#1056     -- 1111296 90000000 100000000          26157     0     0       
#1061     --  721984 900000000 1000000000           6867     0     0       
#1058     --  722032 900000000 1000000000           6872     0     0       
#1059     --       4 900000000 1000000000              1     0     0       
#1060     --  722016 900000000 1000000000           6868     0     0       


